[
  { tipo: 'laranja', subtipo: 'pera', preco: 2.34 },
  { tipo: 'laranja', subtipo: 'lima', preco: 3.21 },
  { tipo: 'laranja', subtipo: 'Bahia', preco: 4.37 },
  { tipo: 'melão', subtipo: 'amarelo', preco: 5.42 },
  { tipo: 'melão', subtipo: 'pele de sapo', preco: 6.25 },
  { tipo: 'melão', subtipo: 'cantaloupe', preco: 9.16 },
  { tipo: 'maçã', subtipo: 'fugi', preco: 6.72 },
  { tipo: 'maçã', subtipo: 'gala', preco: 7.26 },
  { tipo: 'maçã', subtipo: 'verde', preco: 8.52 },
  { tipo: 'maçã', subtipo: 'argentina', preco: 9.21 },
  { tipo: 'kiwi', subtipo: 'verde', preco: 15.64 },
  { tipo: 'kiwi', subtipo: 'amarelo', preco: 21.48 },
  { tipo: 'caqui', subtipo: 'rama forte', preco: 7.33 },
  { tipo: 'caqui', subtipo: 'chocolate', preco: 9.04 },
  { tipo: 'melão', subtipo: 'gália', preco: 10.79 },
  { tipo: 'mamão', subtipo: 'formosa', preco: 4.43 },
  { tipo: 'mamão', subtipo: 'papaya', preco: 7.08 },
  { tipo: 'limão', subtipo: 'taiti', preco: 4.48 },
  { tipo: 'limão', subtipo: 'siciliano', preco: 8.21 },
  { tipo: 'lima', subtipo: 'da pérsia', preco: 4.43 }
]
